price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,state,city,lat,lon,county
1.0,3.0,1.0,2.0,,single_family,370260.0,1330.0,1972.0,141 Fulton Rd,NY,Caroga Lake,43.15732,-74.498275,Fulton
159999.0,5.0,2.0,1.0,,multi_family,4356.0,1830.0,1984.0,189 Livingston Ave,NY,Albany,42.661169,-73.753736,Albany
84999.0,3.0,3.0,,,multi_family,871.0,2280.0,1930.0,66 Robin St,NY,Albany,42.662338,-73.769041,Albany
599999.0,4.0,3.0,1.0,2.0,single_family,24394.0,,1982.0,71 Imperial Dr,NY,Miller Place,40.92636,-72.990874,Suffolk
154000.0,2.0,1.0,,1.0,single_family,9600.0,480.0,1962.0,One Lake Rd,NY,Hammond,44.511242,-75.61103,St. Lawrence
149900.0,4.0,2.0,2.0,2.0,single_family,9901.0,1568.0,1890.0,11150 S Lake Rd,NY,Pavilion,42.874372,-78.023826,Genesee
71000.0,2.0,2.0,,,mobile,,1088.0,2020.0,819 Willowbrook Dr Unit 819,NY,Lockport,43.118222,-78.683221,Niagara
150000.0,4.0,1.0,3.0,2.0,single_family,32670.0,2256.0,1900.0,862 County Route 53,NY,North Bangor,44.824508,-74.398457,Franklin
269900.0,3.0,3.0,1.0,2.0,single_family,1343390.0,1344.0,2004.0,2673 Holmes Rd,NY,Cohocton,42.444727,-77.575933,Steuben
139900.0,,,2.0,2.0,multi_family,7078.0,2684.0,1920.0,2223-2225 Grant Blvd Unit 25,NY,Syracuse,43.072819,-76.145543,Onondaga
50000.0,2.0,2.0,,,multi_family,6970.0,1097.0,1910.0,29 Clark St,NY,Malone,44.849589,-74.297069,Franklin
409900.0,4.0,3.0,1.0,2.0,single_family,60984.0,1862.0,1974.0,14 Hilo Dr,NY,Campbell Hall,41.446958,-74.264988,Orange
180000.0,3.0,2.0,1.0,2.0,single_family,5976.0,1704.0,1900.0,858 Superior St,NY,Watertown,43.98784,-75.919796,Jefferson
175000.0,3.0,2.0,,,single_family,101930.0,1080.0,1989.0,3485 State Highway 23,NY,Laurens,42.498608,-75.126173,Otsego
289000.0,5.0,3.0,1.0,2.0,single_family,13068.0,2637.0,1890.0,12 Jenkins St,NY,Peru,44.58017,-73.530338,Clinton
49900.0,4.0,2.0,,,multi_family,2614.0,,1890.0,801 Livingston Ave,NY,Albany,42.676352,-73.779236,Albany
329900.0,5.0,4.0,1.0,,multi_family,38768.0,2224.0,1928.0,64 5th St,NY,Scotia,42.833612,-73.960506,Schenectady
625000.0,3.0,4.0,2.0,2.0,condos,436.0,3235.0,2007.0,15 Eagles Way,NY,Middletown,,,Orange
1500000.0,8.0,6.0,2.0,,single_family,1934064.0,6590.0,1986.0,3913 Route 23C,NY,Jewett,42.250314,-74.265322,Greene
1299000.0,5.0,5.0,2.0,3.0,single_family,33106.0,3695.0,1979.0,230 Hamlin Ave,NY,East Aurora,42.775824,-78.626568,Erie
549990.0,4.0,3.0,2.0,,single_family,15246.0,2468.0,1971.0,12 Daell Ln,NY,Centereach,40.844483,-73.075741,Suffolk
449000.0,2.0,1.0,,1.0,single_family,2000.0,644.0,1925.0,505 Midland Ave,NY,Staten Island,40.573986,-74.095602,Richmond
110000.0,3.0,1.0,1.0,2.0,single_family,4256.0,1012.0,1910.0,1025 Avery Ave,NY,Syracuse,43.056286,-76.197924,Onondaga
280000.0,3.0,3.0,1.0,2.0,single_family,6970.0,1696.0,1878.0,132 Tremper Ave,NY,Kingston,41.93182,-74.002831,Ulster
579900.0,3.0,4.0,,,single_family,15246.0,2300.0,1952.0,30 Syracuse Ave,NY,Medford,40.796123,-73.008683,Suffolk
539900.0,3.0,2.0,2.0,,single_family,16988.0,,1977.0,15 Orchid Dr,NY,Port Jefferson Station,40.903646,-73.052638,Suffolk
289900.0,5.0,2.0,,2.0,single_family,3389.0,2208.0,1850.0,336 Bird Ave,NY,Buffalo,42.926161,-78.886501,Erie
429000.0,3.0,2.0,,,single_family,7405.0,1658.0,1970.0,155 Cone Ave,NY,Central Islip,40.781784,-73.213949,Suffolk
299900.0,4.0,2.0,2.0,2.0,single_family,8999.0,2118.0,1925.0,62 Cable St,NY,Tonawanda,42.97282,-78.850632,Erie
649999.0,4.0,3.0,2.0,,single_family,10019.0,,1962.0,19 Heather Cres,NY,Commack,40.8577,-73.28282,Suffolk
280000.0,3.0,1.0,1.0,3.0,single_family,7937.0,1254.0,1969.0,25 Nob Cir,NY,Newburgh,41.555995,-74.011144,Orange
570000.0,4.0,2.0,,2.0,single_family,2680.0,1364.0,1915.0,50 Brook St,NY,Staten Island,40.63685,-74.082443,Richmond
729999.0,4.0,3.0,2.0,3.0,single_family,83200.0,2639.0,2022.0,52 Burton Farm Rd,NY,Patterson,41.515615,-73.616514,Putnam
550000.0,5.0,2.0,2.0,2.0,single_family,37501.0,2424.0,1972.0,6000 Sugartown Rd,NY,Ellicottville,42.259537,-78.644858,Cattaraugus
749000.0,4.0,2.0,2.0,2.0,single_family,13504.0,13504.0,1960.0,8 Royal Oak Dr,NY,Huntington,40.852924,-73.421175,Suffolk
