,price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,state,city,county,price_per_sqft
325,689999.0,5.0,2.0,0.0,2.0,single_family,7500.0,7500.0,1950,117 Balsam Ln,NY,Levittown,Nassau,91.99986666666666
326,499999.0,3.0,1.0,0.0,2.0,single_family,6000.0,1190.0,1951,4016 Jean Ave,NY,Bethpage,Nassau,420.1672268907563
327,449000.0,6.0,2.0,1.0,2.0,multi_family,10550.0,2500.0,1927,443 S 1st St,NY,Mount Vernon,Westchester,179.6
328,399900.0,3.0,3.0,2.0,2.0,single_family,16988.0,1598.0,1975,12 Gregg St,NY,East Patchogue,Suffolk,250.25031289111388
329,299999.0,2.0,1.0,0.0,1.0,coop,10550.0,1000.0,1960,245 Hicksville Rd Apt 2G,NY,Bethpage,Nassau,299.999
330,399000.0,2.0,2.0,1.0,2.0,condos,10550.0,1740.0,2001,9 Lavern Dr Unit 334,NY,Middle Island,Suffolk,229.31034482758622
331,1899000.0,4.0,3.0,2.0,2.0,single_family,12500.0,4464.0,1980,70 Yeomalt Ave,NY,Staten Island,Richmond,425.4032258064516
332,389900.0,2.0,1.0,0.0,1.0,single_family,2500.0,1260.0,1925,322 Leland Ave,NY,Bronx,Bronx,309.44444444444446
333,749999.0,4.0,3.0,0.0,3.0,single_family,2700.0,1740.0,1925,126 Conklin Ave,NY,Brooklyn,Kings,431.033908045977
334,529000.0,4.0,3.0,1.0,2.0,single_family,8712.0,1740.0,1962,6 Bea Ave,NY,Ronkonkoma,Suffolk,304.02298850574715
335,599000.0,2.0,1.0,0.0,2.0,condos,10550.0,960.0,1964,501 Surf Ave Apt 7E,NY,Brooklyn,Kings,623.9583333333334
336,1795000.0,5.0,3.0,0.0,1.0,single_family,30492.0,2300.0,1982,34 Rivers Rd,NY,East Hampton,Suffolk,780.4347826086956
337,559000.0,7.0,2.0,0.0,2.0,single_family,6000.0,2200.0,1951,36 Foster Ln,NY,Westbury,Nassau,254.0909090909091
338,725000.0,1.0,1.0,0.0,13.0,coop,10216.0,1740.0,1929,225 E 73rd St Unit 9B,NY,New York City,New York,416.6666666666667
339,535000.0,2.0,1.0,0.0,1.0,condos,8760.0,1740.0,1987,42-60 157th St Unit 4C,NY,Flushing,Queens,307.4712643678161
340,2388000.0,7.0,5.0,1.0,3.0,multi_family,3808.0,3244.0,1965,143-46 37th Ave,NY,Flushing,Queens,736.1282367447595
341,969000.0,5.0,4.0,0.0,3.0,multi_family,3900.0,1740.0,1960,690 E 96th St,NY,Brooklyn,Kings,556.8965517241379
342,225000.0,0.0,1.0,0.0,2.0,coop,10550.0,400.0,1940,87 Saint Marks Pl Apt 4C,NY,New York City,New York,562.5
343,235000.0,1.0,1.0,0.0,1.0,coop,10550.0,1740.0,1957,216-10 77 Ave Unit 1O,NY,Bayside,Queens,135.05747126436782
344,324900.0,3.0,2.0,3.0,1.0,single_family,387684.0,1985.0,1982,12336 Pennsylvania Ave,NY,Silver Creek,Chautauqua,163.67758186397984
345,499000.0,4.0,3.0,2.0,2.0,single_family,3049200.0,2364.0,2010,637 County Route 19,NY,Williamstown,Oswego,211.082910321489
346,384000.0,3.0,2.0,0.0,2.0,single_family,43560.0,1807.0,2006,47873/899 Number # 9,NY,Alexandria Bay,Jefferson,212.50691754288877
